CAFD
EGHT
ADTN
ADSW
ALP^O
ALSK
ALE
LNT
AEE
AMOV
AMX
ADGE
AEP
AMID
AWR
AWK
AM
WTR
WAAS
APLP
AROC
ARTNA
T
ATO
ATNI
AWX
AGR
AVA
BCE
BKH
BKHU
BBRY
BWP
CDZI
CWT
CPN
CWST
CNP
CTL
CQP
LNG
CPK
CIEN
CBB
CLNE
CLFD
CLRO
CMS
CMS^B
CPPL
JCS
CNNX
CTWS
CNSL
ED
DZSI
DPM
DGAS
DM
D
DCUC
DCUD
DRUA
DRWI
DTE
DTJ
DTQ
DTV
DTY
DUK
DUKH
DYN
DYNC
EIX
EP^C
EE
ETE
ETP
ENLK
ESNC
EAB
EAE
EAI
ETR
ELC
ELJ
ELU
EMP
ENJ
ENO
EZT
EPD
EQGP
EQM
ES
EXC
EXCU
FRP
FE
FTR
FTRPR
EGAS
GNCMA
GNE
GPE^A
GWRS
GLOW
GXP
GTT
HE
IDA
IDT
INFN
IQNT
INVT
JE
KMI
LVLT
LMOS
MSEX
NFG
NTGR
NJR
NEP
NEE
NMK^B
NMK^C
NIHD
NI
NWN
NWE
NRG
NYLD
OPTT
OGE
OKS
OKE
ORA
OTEL
OTTR
PCG
PEGI
PDVW
PTXP
PNW
PLT
PNM
POR
PPL
PEG
PCYO
CTAA
CTBB
CTU
CTV
CTW
CTX
CTY
CTZ
RSG
RGCO
RMP
SCG
SRE
SHEN
SHOR
SJW
SJI
SXE
SO
SOJA
SOJB
SWX
SPKE
SE
SEP
SR
SPOK
S
STRP
SMLP
SUNW
TEGP
TEP
TRGP
TCP
TDA
TDE
TDI
TDJ
TDS
TU
TVC
TVE
GLBL
TERP
YORW
TMUS
TMUSP
TAC
TRP
HTM
UGI
USM
UZA
UZB
UZC
UTL
ECOL
USAC
VVC
VZ
VZA
VG
WCN
WM
WEC
WR
WSTL
WGP
WES
WGL
WMB
WPZ
WIN
XEL
ZAYO
